date,symbol,event_count_3d,event_count_20d,positive_event_count,negative_event_count,event_risk_count,event_impact_score,event_confidence_mean,latest_event_type,latest_event_title
2025-08-29,600362,8,8,8,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司董事会独立审核委员会（审计委员会）议事规则（修订）
2025-09-01,600362,8,8,8,0,0,0.20000000000000004,0.63,commodity_shock,江西铜业股份有限公司董事会独立审核委员会（审计委员会）议事规则（修订）
2025-09-02,600362,8,8,8,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司董事会独立审核委员会（审计委员会）议事规则（修订）
2025-09-03,600362,8,8,8,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司董事会独立审核委员会（审计委员会）议事规则（修订）
2025-09-04,600362,0,8,8,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司董事会独立审核委员会（审计委员会）议事规则（修订）
2025-09-05,600362,0,8,8,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司董事会独立审核委员会（审计委员会）议事规则（修订）
2025-09-08,600362,0,8,8,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司董事会独立审核委员会（审计委员会）议事规则（修订）
2025-09-09,600362,1,9,9,0,0,0.20000000000000004,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-10,600362,1,9,9,0,0,0.19999999999999998,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-11,600362,1,9,9,0,0,0.19999999999999998,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-12,600362,1,9,9,0,0,0.19999999999999998,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-15,600362,0,9,9,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-16,600362,0,9,9,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-17,600362,0,9,9,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-18,600362,0,9,9,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-19,600362,0,9,9,0,0,0.20000000000000004,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-22,600362,0,9,9,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-23,600362,0,9,9,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-24,600362,0,9,9,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-25,600362,0,9,9,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-26,600362,0,9,9,0,0,0.20000000000000004,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-29,600362,0,1,1,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-09-30,600362,0,1,1,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-10-01,600362,0,1,1,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-10-02,600362,0,1,1,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-10-03,600362,0,1,1,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-10-06,600362,0,1,1,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-10-07,600362,0,1,1,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
2025-10-08,600362,0,1,1,0,0,0.2,0.63,commodity_shock,江西铜业股份有限公司关于召开2025年半年度业绩说明会的公告
