factor,ic_mean,rank_ic_mean,ic_ir,observations
momentum_1,-0.0006795829719680708,-0.003383887086876479,-0.0020671668927174625,1037
momentum_2,0.002360291584653674,-0.005007605007605007,0.007132922626237765,1036
momentum_3,0.008587624549718786,0.0063299663299663305,0.025381668343139437,1035
momentum_5,0.024885416288008735,0.020563818240488134,0.07219229781595919,1033
momentum_10,0.048287351643355236,0.03501945525291829,0.1469511292798005,1028
momentum_20,0.07343278373624053,0.05659343930463773,0.22531947260882887,1018
momentum_40,0.10048521376733029,0.0836096435294832,0.30075313654378844,998
momentum_60,0.08592179833724317,0.0777220053293673,0.25275771080755277,978
momentum_120,0.06549166178737031,0.06469928038555489,0.20388716475695162,918
momentum_240,0.025501236024989084,0.022601959444064706,0.0743416617849879,798
reversal_1,0.0006795829719680708,0.003383887086876479,0.0020671668927174625,1037
reversal_2,-0.002360291584653674,0.005007605007605007,-0.007132922626237765,1036
reversal_3,-0.008587624549718786,-0.0063299663299663305,-0.025381668343139437,1035
reversal_5,-0.024885416288008735,-0.020563818240488134,-0.07219229781595919,1033
reversal_10,-0.048287351643355236,-0.03501945525291829,-0.1469511292798005,1028
reversal_20,-0.07343278373624053,-0.05659343930463773,-0.22531947260882887,1018
volatility_5,0.007390470546869904,0.007373541996365982,0.02211201501802727,1034
volatility_10,0.012745077167281033,0.009802883200941453,0.03765010661855159,1030
volatility_20,-0.0030608696039476774,-0.006805617147080561,-0.009046384720397283,1025
volatility_40,-0.002195880489513382,-0.007414061564259194,-0.006340681784728956,1012
volatility_60,-0.0025778835513587755,0.006862209267018886,-0.007716761030222179,998
volatility_120,-0.010847982650363441,0.00017713671158347565,-0.03130160282333032,958
volatility_240,0.02774437678051612,0.033906260785531855,0.08111425119047284,878
downside_volatility_5,-2.179093369621048e-05,-0.004650458042623716,-6.348518266978856e-05,1035
downside_volatility_10,-0.015567394840557433,-0.013091144225964788,-0.04602000256408281,1031
downside_volatility_20,-0.041520000542723784,-0.03962431330852384,-0.1196629553056966,1026
downside_volatility_60,-0.06703233234503125,-0.05699639032972366,-0.1896626345645253,999
downside_volatility_120,-0.047422818104905985,-0.026814547982431193,-0.13803648741528252,959
upside_volatility_5,0.018022988295153794,0.015944056614022376,0.05361736987195419,1035
upside_volatility_10,0.023013679990524987,0.026999382770478794,0.0700840004667815,1031
upside_volatility_20,0.029072820041331132,0.03716699155295646,0.08806446916441142,1026
upside_volatility_60,0.04417149370975433,0.05601358934692268,0.13161108250683404,999
max_drawdown_20,0.056374829127548876,0.04052218087305807,0.17279139665627746,1026
max_drawdown_60,0.08131766037726673,0.0642399975733309,0.2308709149400128,999
max_drawdown_120,0.07092670561366077,0.08397004455398617,0.2145131052654701,959
ma_bias_5,0.009020301903704649,0.01068657590396721,0.026660096943575,1035
ma_bias_10,0.028516687985578774,0.020815330805631485,0.08377845510710319,1031
ma_bias_20,0.0595574611864514,0.05211176088369071,0.18138722389823977,1026
ma_bias_40,0.08601893233627295,0.07290077477639176,0.2618387521205593,1013
ma_bias_60,0.0960838113036424,0.08212454879121546,0.29038613791565826,999
ma_bias_120,0.09280204635539488,0.08220052453629095,0.27608931481244964,959
ma_bias_240,0.05850189869606054,0.048381425173234044,0.17292664261252613,879
ma_slope_5,0.04292848448185783,0.03569285083848191,0.12943537378695164,1030
ma_slope_10,0.0709836375375699,0.06116997595939809,0.2230625709237027,1021
ma_slope_20,0.0783425773187449,0.07618531236821495,0.2282850224240134,1006
ma_slope_60,0.05247278490509621,0.04304385710136509,0.15703355914360972,939
ema_bias_5,0.017169689017912586,0.01773678817157078,0.05043464655648677,1035
ema_bias_10,0.03863105880041101,0.03578167710078476,0.11502957581171039,1031
ema_bias_12,0.04596982689457933,0.043142798244839055,0.1379549880201501,1029
ema_bias_20,0.06784561206158408,0.05964912280701755,0.20637219397012607,1026
ema_bias_26,0.07817414598011872,0.06714107809998221,0.23787309595210576,1022
ema_bias_60,0.09270409096380977,0.07829041162374495,0.2788001218221177,999
ema_bias_120,0.08600666310330883,0.07905330679053307,0.2546773380308437,959
ema_slope_12,0.07970057501890675,0.07237567414558566,0.24859723039004014,1017
ema_slope_26,0.09158962906174295,0.0786783497626871,0.26838817767993517,996
ema_slope_60,0.06138142268371591,0.05205408719785717,0.1825856354332593,939
macd_diff,0.0930018004796281,0.07698511534127972,0.2842323276730696,1022
macd_signal,0.09258448693160047,0.07989630821489228,0.2762138899498884,1017
macd_hist,-0.0006091392647412738,-0.0019367718482762723,-0.0018209631087497346,1017
rsi_6,0.020291725445627004,0.019587315458943752,0.058812822961540806,1034
rsi_14,0.056263305992046604,0.05053649333804976,0.17268515751527488,1028
