event_id,source,source_url,published_at,fetched_at,related_symbols,symbol,title,summary,event_type,sentiment,impact_score,confidence,effective_date,raw_hash,quality_flag
04f86c844078c39d,cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225335106&orgId=gssz0000630&announcementTime=2026-05-29 00:00:00,2026-05-29,2026-06-12T19:28:41,000630,000630,2025年年度权益分派实施公告,2025年年度权益分派实施公告,general_news,neutral,0.0,0.35,2026-05-29,04f86c844078c39de7cc95eb8f8379e493e0f642,ok
d735867dd93cb3cf,cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225321199&orgId=gssz0000630&announcementTime=2026-05-21 00:00:00,2026-05-21,2026-06-12T19:28:41,000630,000630,十一届一次董事会会议决议公告,十一届一次董事会会议决议公告,general_news,neutral,0.0,0.35,2026-05-21,d735867dd93cb3cfa658b8aa8d9ac142dac3d376,ok
b7bd17b7b4bb5a8b,cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225304286&orgId=gssz0000630&announcementTime=2026-05-14 00:00:00,2026-05-14,2026-06-12T19:28:41,000630,000630,关于独立董事辞职的公告,关于独立董事辞职的公告,general_news,neutral,0.0,0.35,2026-05-14,b7bd17b7b4bb5a8b7cc930f4cc7c3de205117811,ok
70541f8b7699078a,cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225304285&orgId=gssz0000630&announcementTime=2026-05-14 00:00:00,2026-05-14,2026-06-12T19:28:41,000630,000630,关于选举第十一届董事会职工董事的公告,关于选举第十一届董事会职工董事的公告,general_news,neutral,0.0,0.35,2026-05-14,70541f8b7699078aaffe1d2622e5a5149e4de404,ok
c2a58ef4246917e7,cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225304284&orgId=gssz0000630&announcementTime=2026-05-14 00:00:00,2026-05-14,2026-06-12T19:28:41,000630,000630,安徽承义律师事务所关于铜陵有色金属集团股份有限公司召开2025年年度股东会的法律意见书,安徽承义律师事务所关于铜陵有色金属集团股份有限公司召开2025年年度股东会的法律意见书,shareholder_change,neutral,-0.15,0.63,2026-05-14,c2a58ef4246917e79998b02531c997527c6629aa,ok
34c82a62a12c1c6a,cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225304283&orgId=gssz0000630&announcementTime=2026-05-14 00:00:00,2026-05-14,2026-06-12T19:28:41,000630,000630,2025年度股东会决议的公告,2025年度股东会决议的公告,shareholder_change,neutral,-0.15,0.63,2026-05-14,34c82a62a12c1c6af009c5f228a4ffc80916ddff,ok
b0cf525d200e7fc2,cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225226181&orgId=gssz0000630&announcementTime=2026-04-29 00:00:00,2026-04-29,2026-06-12T19:28:41,000630,000630,董事会议事规则,董事会议事规则,general_news,neutral,0.0,0.35,2026-04-29,b0cf525d200e7fc26c147ae21052efb44089a3d8,ok
17652ab5e39c62c4,cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225226180&orgId=gssz0000630&announcementTime=2026-04-29 00:00:00,2026-04-29,2026-06-12T19:28:41,000630,000630,关于计提资产减值准备的公告,关于计提资产减值准备的公告,general_news,neutral,0.0,0.35,2026-04-29,17652ab5e39c62c441f88adbf764f69e6183f057,ok
d7069c5c6c048ed1,cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225226179&orgId=gssz0000630&announcementTime=2026-04-29 00:00:00,2026-04-29,2026-06-12T19:28:41,000630,000630,关于2025年度股东会增加临时提案暨股东会补充通知,关于2025年度股东会增加临时提案暨股东会补充通知,shareholder_change,neutral,-0.15,0.63,2026-04-29,d7069c5c6c048ed1200b47091599ccb45ab051f9,ok
794184605118778e,cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225226178&orgId=gssz0000630&announcementTime=2026-04-29 00:00:00,2026-04-29,2026-06-12T19:28:41,000630,000630,十届三十次董事会会议决议公告,十届三十次董事会会议决议公告,general_news,neutral,0.0,0.35,2026-04-29,794184605118778ecce40c06d824d49c3ba39b41,ok
1b59f316faba3d61,cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225226176&orgId=gssz0000630&announcementTime=2026-04-29 00:00:00,2026-04-29,2026-06-12T19:28:41,000630,000630,2026年一季度报告,2026年一季度报告,general_news,neutral,0.0,0.35,2026-04-29,1b59f316faba3d61626a1a500992a9e9479edd80,ok
c7581c1578cfdcd6,cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119744&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20,2026-06-12T19:28:41,000630,000630,关于铜陵有色金属集团股份有限公司涉及财务公司关联交易的存款、贷款等金融业务的专项说明,关于铜陵有色金属集团股份有限公司涉及财务公司关联交易的存款、贷款等金融业务的专项说明,commodity_shock,positive,0.2,0.63,2026-04-20,c7581c1578cfdcd69180f7d3b4e2ba8abee2a86b,ok
